MATCH 8E1C5D47 after generation 1299 (86016 ms, 66 ms/gen)
MATCH 76B5E67 after generation 401 (26614 ms, 66 ms/gen)
MATCH C32C9966 after generation 1298 (85947 ms, 66 ms/gen)
MATCH 12B00C46 after generation 788 (52220 ms, 66 ms/gen)
MATCH 9E109A87 after generation 347 (23032 ms, 66 ms/gen)
MATCH 4A17A344 after generation 1962 (129887 ms, 66 ms/gen)
MATCH F567EE06 after generation 411 (27274 ms, 66 ms/gen)
MATCH C0C596C4 after generation 226 (15021 ms, 66 ms/gen)
MATCH 7A5F0FA6 after generation 364 (24161 ms, 66 ms/gen)
MATCH 89205BA5 after generation 317 (21044 ms, 66 ms/gen)
MATCH 50C5B805 after generation 1166 (77227 ms, 66 ms/gen)
MATCH 12902C26 after generation 187 (12444 ms, 66 ms/gen)
MATCH 4D84D847 after generation 1228 (81345 ms, 66 ms/gen)
MATCH B4E8F24 after generation 452 (29984 ms, 66 ms/gen)
MATCH 836B2085 after generation 525 (34812 ms, 66 ms/gen)
MATCH 3507425 after generation 133 (8868 ms, 66 ms/gen)
MATCH 9DB9427 after generation 362 (24023 ms, 66 ms/gen)
MATCH DE6C3A05 after generation 573 (37982 ms, 66 ms/gen)
MATCH F1590525 after generation 1238 (81992 ms, 66 ms/gen)
MATCH 6126CD26 after generation 936 (62012 ms, 66 ms/gen)
MATCH 7F7410A5 after generation 975 (64585 ms, 66 ms/gen)
MATCH DB68A926 after generation 2142 (141822 ms, 66 ms/gen)
MATCH A562F8E4 after generation 256 (17007 ms, 66 ms/gen)
MATCH 988F35E5 after generation 930 (61612 ms, 66 ms/gen)
MATCH 41382906 after generation 285 (18929 ms, 66 ms/gen)
MATCH 391BD366 after generation 707 (46862 ms, 66 ms/gen)
MATCH 75B0D8A7 after generation 803 (53205 ms, 66 ms/gen)
MATCH 84717047 after generation 398 (26404 ms, 66 ms/gen)
MATCH A72CBAA4 after generation 668 (44265 ms, 66 ms/gen)
MATCH 84A1CD85 after generation 131 (8735 ms, 66 ms/gen)
MATCH 507C8D85 after generation 213 (14163 ms, 66 ms/gen)
MATCH 7EF28424 after generation 1510 (99978 ms, 66 ms/gen)
MATCH 65755064 after generation 344 (22837 ms, 66 ms/gen)
MATCH D65002A7 after generation 583 (38650 ms, 66 ms/gen)
MATCH 6E32C687 after generation 626 (41492 ms, 66 ms/gen)
MATCH 5A2A1A24 after generation 432 (28654 ms, 66 ms/gen)
MATCH C1C78707 after generation 239 (15879 ms, 66 ms/gen)
MATCH 800F63E7 after generation 302 (20059 ms, 66 ms/gen)
MATCH 457C8EC5 after generation 810 (53677 ms, 66 ms/gen)
MATCH A65D5227 after generation 497 (32962 ms, 66 ms/gen)
MATCH D54F1204 after generation 297 (19726 ms, 66 ms/gen)
MATCH 451042C6 after generation 850 (56335 ms, 66 ms/gen)
MATCH 267342E7 after generation 700 (46397 ms, 66 ms/gen)
MATCH 6D8FBCC6 after generation 911 (60363 ms, 66 ms/gen)
MATCH 4820E687 after generation 610 (40439 ms, 66 ms/gen)
MATCH 49D44DA5 after generation 526 (34881 ms, 66 ms/gen)
MATCH B6AA8F04 after generation 449 (29785 ms, 66 ms/gen)
MATCH 9707A45 after generation 1175 (77829 ms, 66 ms/gen)
MATCH 72129C04 after generation 1654 (109533 ms, 66 ms/gen)
MATCH E62370E7 after generation 314 (20848 ms, 66 ms/gen)
MATCH BC023425 after generation 1318 (87290 ms, 66 ms/gen)
MATCH 3FF262A7 after generation 274 (18198 ms, 66 ms/gen)
MATCH 42004284 after generation 179 (11915 ms, 66 ms/gen)
MATCH 82DD01C4 after generation 1579 (104564 ms, 66 ms/gen)
MATCH ABF0D3C4 after generation 229 (15223 ms, 66 ms/gen)
MATCH 8F2343E4 after generation 666 (44127 ms, 66 ms/gen)
MATCH C3E60206 after generation 340 (22572 ms, 66 ms/gen)
MATCH 2D48E125 after generation 1752 (116025 ms, 66 ms/gen)
MATCH 248E01A6 after generation 265 (17606 ms, 66 ms/gen)
MATCH ECB6B007 after generation 896 (59375 ms, 66 ms/gen)
MATCH C04F007 after generation 626 (41495 ms, 66 ms/gen)
MATCH 731063E5 after generation 786 (52094 ms, 66 ms/gen)
MATCH 9C2A005 after generation 663 (43936 ms, 66 ms/gen)
MATCH 1ED9C965 after generation 2154 (142618 ms, 66 ms/gen)
MATCH 6D376DE4 after generation 444 (29452 ms, 66 ms/gen)
MATCH E38E8665 after generation 1377 (91196 ms, 66 ms/gen)
MATCH 61FABF84 after generation 731 (48432 ms, 66 ms/gen)
MATCH AEE95C67 after generation 1124 (74443 ms, 66 ms/gen)
MATCH 762E3607 after generation 1221 (80881 ms, 66 ms/gen)
MATCH F2B408A4 after generation 686 (45475 ms, 66 ms/gen)
MATCH 982F98C7 after generation 1156 (76556 ms, 66 ms/gen)
MATCH 95BB6B64 after generation 424 (28123 ms, 66 ms/gen)
MATCH 5B3ABB64 after generation 462 (30639 ms, 66 ms/gen)
MATCH 237B59C7 after generation 745 (49383 ms, 66 ms/gen)
MATCH 9FA84B05 after generation 624 (41363 ms, 66 ms/gen)
MATCH 20216366 after generation 533 (35341 ms, 66 ms/gen)
MATCH C6830D05 after generation 235 (15623 ms, 66 ms/gen)
MATCH 886134E5 after generation 514 (34084 ms, 66 ms/gen)
MATCH B6D25147 after generation 1283 (84981 ms, 66 ms/gen)
MATCH 5B257006 after generation 234 (15555 ms, 66 ms/gen)
MATCH D72BA3A4 after generation 265 (17607 ms, 66 ms/gen)
MATCH F6BC85C4 after generation 284 (18859 ms, 66 ms/gen)
MATCH 767C91E4 after generation 366 (24289 ms, 66 ms/gen)
MATCH 7E3D3C65 after generation 972 (64402 ms, 66 ms/gen)
MATCH B5131C87 after generation 405 (26873 ms, 66 ms/gen)
MATCH 9EA36F27 after generation 468 (31053 ms, 66 ms/gen)
MATCH 92476E26 after generation 1516 (100379 ms, 66 ms/gen)
MATCH A8F61BA5 after generation 294 (19518 ms, 66 ms/gen)
MATCH B8A1C607 after generation 801 (53082 ms, 66 ms/gen)
MATCH EF521007 after generation 257 (17077 ms, 66 ms/gen)
MATCH DD100C47 after generation 960 (63607 ms, 66 ms/gen)
MATCH AB56AE84 after generation 401 (26604 ms, 66 ms/gen)
MATCH 28C5B3E6 after generation 665 (44076 ms, 66 ms/gen)
MATCH A00C3326 after generation 897 (59423 ms, 66 ms/gen)
MATCH 6DD3D986 after generation 221 (14692 ms, 66 ms/gen)
MATCH 5C7C1247 after generation 613 (40642 ms, 66 ms/gen)
MATCH 12F52585 after generation 419 (27796 ms, 66 ms/gen)
MATCH 7280F984 after generation 375 (24884 ms, 66 ms/gen)
MATCH 6CD86904 after generation 1347 (89207 ms, 66 ms/gen)
MATCH 6603A206 after generation 979 (64870 ms, 66 ms/gen)
MATCH 3ADB3966 after generation 520 (34477 ms, 66 ms/gen)
MATCH FA05DF44 after generation 814 (53932 ms, 66 ms/gen)
MATCH C4712FE6 after generation 886 (58701 ms, 66 ms/gen)
MATCH F978B3E7 after generation 426 (28260 ms, 66 ms/gen)
MATCH F7C865C6 after generation 430 (28521 ms, 66 ms/gen)
MATCH D5B5B47 after generation 388 (25739 ms, 66 ms/gen)
MATCH BC47B826 after generation 882 (58440 ms, 66 ms/gen)
MATCH D633B7A4 after generation 598 (39640 ms, 66 ms/gen)
MATCH BC6C8FC4 after generation 476 (31562 ms, 66 ms/gen)
MATCH 959EBB25 after generation 261 (17343 ms, 66 ms/gen)
MATCH 5E8B2C67 after generation 162 (10787 ms, 66 ms/gen)
MATCH 661DBDA7 after generation 703 (46589 ms, 66 ms/gen)
MATCH C94A9027 after generation 2852 (188800 ms, 66 ms/gen)
MATCH 659B06 after generation 751 (49763 ms, 66 ms/gen)
MATCH B9E9E407 after generation 1172 (77622 ms, 66 ms/gen)
MATCH 2F04AEE5 after generation 120 (8009 ms, 66 ms/gen)
MATCH CB5A68E7 after generation 421 (27933 ms, 66 ms/gen)
